127.0.0.1, 2014-02-19 11:36:23, GET, /CostEstimate/static/js/web2py.js, HTTP/1.1, 304, 0.002011
127.0.0.1, 2014-02-19 11:36:23, GET, /CostEstimate/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000527
127.0.0.1, 2014-02-19 11:36:23, GET, /CostEstimate/static/js/share.js, HTTP/1.1, 304, 0.000424
127.0.0.1, 2014-02-19 11:36:23, GET, /CostEstimate/static/images/facebook.png, HTTP/1.1, 304, 0.000791
127.0.0.1, 2014-02-19 11:36:23, GET, /CostEstimate/static/images/twitter.png, HTTP/1.1, 304, 0.001165
127.0.0.1, 2014-02-19 11:36:23, GET, /CostEstimate/static/images/gplus-32.png, HTTP/1.1, 304, 0.001276
127.0.0.1, 2014-02-19 11:36:24, GET, /CostEstimate/addresses/submit_addresses.html, HTTP/1.1, 200, 0.021355
127.0.0.1, 2014-02-19 11:36:26, GET, /CostEstimate/home, HTTP/1.1, 200, 0.017705
127.0.0.1, 2014-02-19 11:59:33, GET, /CostEstimate/home, HTTP/1.1, 200, 0.021835
127.0.0.1, 2014-02-19 11:59:34, GET, /CostEstimate/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000551
127.0.0.1, 2014-02-19 11:59:34, GET, /CostEstimate/static/css/calendar.css, HTTP/1.1, 304, 0.000387
127.0.0.1, 2014-02-19 11:59:34, GET, /CostEstimate/static/js/calendar.js, HTTP/1.1, 304, 0.000477
127.0.0.1, 2014-02-19 11:59:34, GET, /CostEstimate/static/css/web2py.css, HTTP/1.1, 304, 0.000449
127.0.0.1, 2014-02-19 11:59:34, GET, /CostEstimate/static/js/web2py.js, HTTP/1.1, 304, 0.000461
127.0.0.1, 2014-02-19 11:59:34, GET, /CostEstimate/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000606
127.0.0.1, 2014-02-19 11:59:34, GET, /CostEstimate/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000805
127.0.0.1, 2014-02-19 11:59:34, GET, /CostEstimate/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000417
127.0.0.1, 2014-02-19 11:59:34, GET, /CostEstimate/static/js/jquery.js, HTTP/1.1, 304, 0.006407
127.0.0.1, 2014-02-19 11:59:34, GET, /CostEstimate/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000978
127.0.0.1, 2014-02-19 11:59:34, GET, /CostEstimate/static/js/share.js, HTTP/1.1, 304, 0.001088
127.0.0.1, 2014-02-19 11:59:34, GET, /CostEstimate/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001633
127.0.0.1, 2014-02-19 11:59:34, GET, /CostEstimate/static/images/gplus-32.png, HTTP/1.1, 304, 0.000466
127.0.0.1, 2014-02-19 11:59:34, GET, /CostEstimate/static/images/facebook.png, HTTP/1.1, 304, 0.001175
127.0.0.1, 2014-02-19 11:59:34, GET, /CostEstimate/static/images/twitter.png, HTTP/1.1, 304, 0.001968
127.0.0.1, 2014-02-19 12:14:43, GET, /CostEstimate/addresses/submit_addresses.html, HTTP/1.1, 200, 0.022308
127.0.0.1, 2014-02-19 12:14:43, GET, /CostEstimate/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000712
127.0.0.1, 2014-02-19 12:14:43, GET, /CostEstimate/static/css/calendar.css, HTTP/1.1, 304, 0.000470
127.0.0.1, 2014-02-19 12:14:43, GET, /CostEstimate/static/js/jquery.js, HTTP/1.1, 304, 0.000693
127.0.0.1, 2014-02-19 12:14:43, GET, /CostEstimate/static/js/calendar.js, HTTP/1.1, 304, 0.001032
127.0.0.1, 2014-02-19 12:14:43, GET, /CostEstimate/static/js/web2py.js, HTTP/1.1, 304, 0.001211
127.0.0.1, 2014-02-19 12:14:43, GET, /CostEstimate/static/css/web2py.css, HTTP/1.1, 304, 0.000569
127.0.0.1, 2014-02-19 12:14:43, GET, /CostEstimate/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000511
127.0.0.1, 2014-02-19 12:14:43, GET, /CostEstimate/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000395
127.0.0.1, 2014-02-19 12:14:43, GET, /CostEstimate/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000631
127.0.0.1, 2014-02-19 12:14:43, GET, /CostEstimate/static/js/share.js, HTTP/1.1, 304, 0.002047
